seq_num,1st_ch_cap,1st_disch_cap,1st_CE,disch_cap_with_cv,last_ch_cap,last_disch_cap,last_CE,formation_time,temperature_exp,cv_hold_cap,formation_file_name,formation_drying_date,formation_temperature,cell_id,electrolyte,ocv_time,cell_mass_before,cell_mass_after,electrolyte_mass,wetting_hold_time,formation_charge_current_1,formation_cutoff_voltage_1,formation_charge_current_2,formation_cutoff_voltage_2,charge_hold_time,formation_discharge_current,formation_verification_current,formation_verification_repeat,regular_project_name,regular_charge_current,regular_charge_cutoff_voltage,regular_discharge_current,regular_discharge_cutoff_voltage,date,rpt_low_energy,rpt_med_energy,regu_energy,rpt_low_cap,rpt_med_cap,regu_cap,rpt_low_cv_t,rpt_med_cv_t,regu_cv_t,rpt_low_ce,rpt_med_ce,regu_ce,diag_pos_x,cycle_index,rpt_low_life,rpt_med_life,regu_life,regu_knee,q_throughput,e_throughput,r_c_0_0s,r_d_0_0s,r_c_0_3s,r_d_0_3s,r_c_0_10s,r_d_0_10s,r_c_0_30s,r_d_0_30s,r_c_1_0s,r_d_1_0s,r_c_1_3s,r_d_1_3s,r_c_1_10s,r_d_1_10s,r_c_1_30s,r_d_1_30s,r_c_2_0s,r_d_2_0s,r_c_2_3s,r_d_2_3s,r_c_2_10s,r_d_2_10s,r_c_2_30s,r_d_2_30s,r_c_3_0s,r_d_3_0s,r_c_3_3s,r_d_3_3s,r_c_3_10s,r_d_3_10s,r_c_3_30s,r_d_3_30s,r_c_4_0s,r_d_4_0s,r_c_4_3s,r_d_4_3s,r_c_4_10s,r_d_4_10s,r_c_4_30s,r_d_4_30s,r_c_5_0s,r_d_5_0s,r_c_5_3s,r_d_5_3s,r_c_5_10s,r_d_5_10s,r_c_5_30s,r_d_5_30s,diag_pos_y,Q_ne,Q_pe,SOC_ne_0,SOC_pe_0,SOC_ne_100,SOC_pe_100,Q_li,Q_full,error,Q_offset
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,1.0247039926,0.989998583,0.9341869916,0.2720672014,0.2628636314,0.2498472224,469.3800048828125,438.0400085449219,930.77,1.0071141387431302,0.9697627306454816,0.9505950896616756,0,0,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,0.22516294,0.25359234,0.3607183,0.36975282,0.41855526,0.42019242,0.525192142,0.5073118,0.186857864,0.179231837,0.22923854,0.226020962,0.276961982,0.276103079,0.352714092,0.361641496,0.177961856,0.172874257,0.221001938,0.219089389,0.268079877,0.269814998,0.345754594,0.360368371,0.179233,0.174782917,0.214681968,0.21403271,0.250132918,0.250829637,0.303806901,0.310794711,0.197666556,0.197027519,0.246482372,0.247226804,0.281069338,0.285100222,0.336858571,0.34702161,0.245967954,0.230076626,0.384151012,0.437308848,0.426480055,0.506912589,0.488273442,0.623974741,0,307.3029577,303.5502949,1.366155847,96.31562201,91.05592786,5.51705359,296.564592,272.0671218,0.004526671,3.552200403
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,1.0134677986,0.9876994885,0.934073768,0.2688309069,0.2622511526,0.2497932159,417.0,411.0199890136719,896.62,1.0130691012781163,0.9812084512568288,0.999825454473297,1,24,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,-0.030183822,-0.043202505,-0.020842612,-0.027633458,-0.023420721,-0.030267477,-0.023842216,-0.032402277,-0.015877217,-0.012698874,-0.016521767,-0.016401798,-0.018298119,-0.018495589,-0.020283043,-0.02031666,-0.012064144,-0.011428133,-0.015362352,-0.015806437,-0.015410691,-0.016962647,-0.014594793,-0.023490787,-0.01524213,-0.012063593,-0.01955983,-0.019767419,-0.020526648,-0.020300999,-0.02031827,-0.024130076,-0.014607221,-0.023504868,-0.030577585,-0.033088878,-0.030130208,-0.035797343,-0.03288126,-0.037477106,-0.029218987,-0.026042864,-0.067016453,-0.095249087,-0.063944668,-0.095518053,-0.063674152,-0.099591136,1,303.3170376,301.1441896,1.26969094,95.65707838,90.78280021,5.498104452,291.9169224,268.8308278,0.003856615,2.677683545
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9854483996,0.9649485397,0.9191877611,0.2610412005,0.25606912,0.2459955072,434.2300109863281,427.6900024414063,903.81,1.0179367023391594,0.9878531962287296,1.0002727407291552,2,127,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,-0.002052501,-0.043840364,0.007664204,-0.004390061,0.010094076,-0.004919171,0.014472127,-0.004544258,-0.011416629,-0.010158256,-0.007709265,-0.008157134,-0.008323669,-0.009083539,-0.006920725,-0.009515107,-0.010785952,-0.006980672,-0.008254454,-0.010344446,-0.00942114,-0.01413694,-0.010804892,-0.025446892,-0.010783821,-0.009524927,-0.012027293,-0.014567524,-0.012025297,-0.014547318,-0.010769844,-0.015236735,-0.017777801,-0.021599934,-0.028071716,-0.02938284,-0.025743753,-0.02971217,-0.023482949,-0.029156059,-0.031752542,-0.027953833,-0.064905643,-0.091782779,-0.042810351,-0.071858287,-0.003906071,-0.026502788,2,301.1298162,297.6812862,1.112797404,93.86187325,88.45439764,5.508452157,282.7601963,261.0410139,0.004095175,1.970586376
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9712379859,0.9515559857,0.9082947754,0.2571542442,0.2524643669,0.2432502116,454.6099853515625,456.0499877929688,942.81,1.01653067872298,0.9883392076091098,1.0003371583596712,3,230,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,-0.011310115,-0.027317151,0.03801337,0.023087531,0.0408414,0.022069305,0.048308849,0.02341652,-0.00571695,-0.000626147,0.001293972,0.001640618,0.001885623,0.000991762,0.007021487,0.003828645,-0.005720884,-0.005075634,-8.04e-05,-0.001003414,-0.000910819,-0.003237218,4.77e-07,-0.01333046,-0.005718902,-0.004441917,-0.004958361,-0.005824253,-0.003151104,-0.005029812,0.00063625,-0.002527982,-0.011443079,-0.017786235,-0.019725531,-0.021632895,-0.016591519,-0.019598991,-0.010172546,-0.016441584,-0.03749761,-0.024777994,-0.047716945,-0.074486375,-0.015009224,-0.040601611,0.054511726,0.038323402,3,301.6766911,295.9930769,1.05835788,92.99049089,86.90790333,5.492475475,278.4382342,257.1541654,0.004589467,1.833902646
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9551437022,0.9335656648,0.879165159,0.2528430175,0.2476679301,0.2356532399,527.8099975585938,521.5999755859375,1068.67,1.0149843008763384,0.9860744515859816,0.9999886958062284,4,333,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,0.009965807,-0.016529843,0.0821819,0.06755024,0.08802897,0.06976563,0.107171178,0.07549149,0.005723506,0.008258104,0.019705877,0.019057363,0.022251964,0.020966858,0.029902399,0.025413752,0.008897409,0.009529337,0.017221227,0.015716925,0.018956959,0.015511245,0.022881359,0.010160714,0.004448414,0.006349578,0.009814903,0.00880748,0.013209134,0.011386573,0.020337254,0.01587972,-0.006356329,-0.006997377,-0.000823051,-0.002650961,0.004551381,0.002502054,0.013981462,0.011388421,-0.015252441,-0.012718022,0.003168702,-0.006190419,0.052470833,0.06035161,0.158110142,0.228303909,4,301.7644544,294.2970626,1.011822118,92.117379,85.46459952,5.521726039,274.15206,252.8429383,0.005848701,2.005524677
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9336749387,0.9095936255,0.8152919709,0.2472087797,0.2414926565,0.2188899735,623.489990234375,615.1099853515625,1242.86,1.0296572087459854,0.984112920900678,1.000078271017252,5,436,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,-0.029481739,-0.01782851,0.15332615,0.13273418,0.17108607,0.13835508,0.201804161,0.15231931,0.020962045,0.023487478,0.054154426,0.050806224,0.060352147,0.055736065,0.07564041,0.067945063,0.023504689,0.027303174,0.047503605,0.044607371,0.052023172,0.045777917,0.058451563,0.046974689,0.027317822,0.024759054,0.040745452,0.038227558,0.046338141,0.04447189,0.058459908,0.055242717,0.022230506,0.012046516,0.035023838,0.03393352,0.044695914,0.045871109,0.059721172,0.0641343,,,,,,,,,5,322.506357,292.637045,0.977539159,90.69487775,78.25155096,5.533547472,268.5594361,247.2085933,0.007087855,2.005007058
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.8875294905,0.8234610459,0.6130302299,0.2350359113,0.2192887435,0.1656953813,817.2100219726562,792.030029296875,1709.56,1.0339248404374797,0.9387008831344572,0.998082586536826,6,539,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,0.039169326,0.032367945,0.31403625,0.2835263,0.3417048,0.29668415,0.395554483,0.3257901,0.058423311,0.050808102,0.134177625,0.129120886,0.14722541,0.146452963,0.17597428,0.191850752,0.05715239,0.062249348,0.116222456,0.111648858,0.123470068,0.121720731,0.139857352,0.15054816,0.055881247,0.059069768,0.103411898,0.10227865,0.114152968,0.116840661,0.135283381,0.158181578,0.057781547,0.046357036,0.110913038,0.118697971,0.125242531,0.147146553,0.146257311,0.211554319,,,,,,,,,6,385.6387503,288.4814144,0.951898453,87.37401545,62.60847431,4.952189743,255.7286849,235.0357248,0.006491284,2.735923791
100.0,0.306799054,0.252583765,0.8233,0.26764163,,,,27.2024111,24.08547967,0.001622717,Nova_Formation,100C14h,25,S20A300A0308,EP1,72,4.606,5.641,1.035,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.8141704394,0.7196744646,0.4559927930999999,0.2150716518,0.1911783293,0.124190397,985.3800048828124,974.97998046875,1950.79,1.0574326392225306,0.8941899461692855,0.9920580800243796,7,642,629.6783308461804,573.9691816899658,468.0,352.0,107.62505340576172,421.8202209472656,0.07953943,0.029839158,0.47215337,0.43978256,0.50845957,0.45708948,0.575751662,0.49536872,0.078767762,0.090805218,0.205800354,0.20054397,0.222047716,0.221198618,0.263688654,0.283155829,0.079402834,0.087632224,0.172495827,0.167703241,0.184450001,0.182115167,0.212187916,0.23114109,0.090205386,0.083182082,0.159895018,0.159446895,0.174323589,0.181324571,0.20916301,0.252154827,,,,,,,,,,,,,,,,,7,399.8216869,287.3094482,0.848138235,81.20244163,55.98157709,4.478391427,236.6933276,215.071573,0.007031833,5.363872278
101.0,0.305050964,0.250596234,0.8215,0.265537976,,,,27.806275,23.91941979,0.00161548,Nova_Formation,100C14h,25,S20A300A0723,EP1,72,4.595,5.648,1.053,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9868338471,0.9750370474,0.9234821485,0.2620050411,0.2590185306,0.2475818688,489.1700134277344,488.0400085449219,983.56,0.978474271866975,0.9638930090671782,0.9488969535229058,0,0,653.0221544728481,626.23290937745,546.0,356.0,124.05119323730467,488.2603149414063,0.29029226,0.29553998,0.4058109,0.41684482,0.4624559,0.46764603,0.566867173,0.55369705,0.236447915,0.238339469,0.278509587,0.28339678,0.325870663,0.332056969,0.401711196,0.418207288,0.232002601,0.230077162,0.274374127,0.27492398,0.321117491,0.325703323,0.399134964,0.415027499,0.236451894,0.234526098,0.270026147,0.27055648,0.304573685,0.307117134,0.357855886,0.366724849,0.253613442,0.254228503,0.299987346,0.305244207,0.336086154,0.342976689,0.392178982,0.40485853,0.314634234,0.292997748,0.450260073,0.519613087,0.495144278,0.599280715,0.557589233,0.7347188,0,295.9189705,292.17067,1.360575314,96.32404401,90.97920131,5.555687485,285.4568052,262.004954,0.004393701,3.193561426
101.0,0.305050964,0.250596234,0.8215,0.265537976,,,,27.806275,23.91941979,0.00161548,Nova_Formation,100C14h,25,S20A300A0723,EP1,72,4.595,5.648,1.053,24,0.0552,4.09,0.0048,4.4,1,0.048,0.048,0,Nova_Regular,0.24,4.4,0.18,3,9/20/22,0.9723486932,0.9704708567,0.9207584823,0.257915519,0.2578445945,0.2468144423,422.3399963378906,430.1600036621094,889.6,0.9880748419779718,0.9779164173787196,0.9985783362472812,1,24,653.0221544728481,626.23290937745,546.0,356.0,124.05119323730467,488.2603149414063,-0.03612712,-0.033015728,-0.03876999,-0.049761415,-0.040605992,-0.050219744,-0.041910648,-0.0496248,-0.015237331,-0.015860707,-0.018444806,-0.019684702,-0.020269424,-0.020878285,-0.021587819,-0.02282986,-0.014605924,-0.013752207,-0.0195674,-0.018164217,-0.020587564,-0.021997422,-0.022827476,-0.027710795,-0.01778391,-0.01556322,-0.021589831,-0.021196008,-0.022151887,-0.021676004,-0.022226095,-0.024445385,-0.020325482,-0.022215098,-0.034491748,-0.036582053,-0.035433084,-0.037665784,-0.036208361,-0.039892614,-0.050835013,-0.039372504,-0.082295507,-0.122424066,-0.072505772,-0.123718977,-0.058595091,-0.116326272,1,295.5194183,289.8882549,1.211992619,95.32306303,89.31025745,5.513463854,279.9120375,257.9154323,0.004017287,2.432047486
